Time,Container_CPU,Replicas,Host_CPU,Host_RAM,Context_Switches
0,0.0,1,9.2,43.9,266748016
2,0.0,1,7.8,43.8,266965827
5,0.0,1,6.3,43.7,267103588
8,0.0,1,6.2,43.9,267285298
12,0.59,1,5.3,43.8,267442143
15,0.0,1,5.5,43.8,267588052
18,0.0,1,6.8,43.8,267746236
21,0.0,1,6.4,43.8,267864837
24,0.0,1,4.9,43.8,267974073
27,116.5,1,5.7,43.7,268091374
30,412.73,1,16.2,43.8,268182481
33,414.26,1,20.6,43.8,268288749
36,413.12,1,16.5,43.8,268370875
40,413.27,1,16.3,43.8,268475590
43,412.35,1,17.9,43.8,268584826
46,0.0,2,16.2,43.8,268662031
48,0.0,2,15.1,43.8,268716286
50,0.0,2,16.6,43.8,268822821
53,0.0,1,19.2,43.8,268890190
55,414.21,1,17.3,43.8,268956771
58,413.45,1,20.5,43.8,269093422
61,414.35,1,21.4,43.8,269231948
64,413.11,1,16.7,43.8,269328094
67,412.18,1,15.6,43.8,269412628
70,413.31,1,18.8,43.8,269528294
73,0.0,2,16.2,43.8,269581300
75,0.0,2,16.5,43.8,269645957
77,0.0,2,16.5,43.8,269750106
81,0.0,1,17.5,43.8,269851021
84,414.64,1,16.7,43.9,269938311
86,414.25,1,15.8,43.9,270022348
89,387.87,1,16.3,43.9,270123645
92,0.0,1,6.7,43.7,270259221
95,0.0,1,5.3,43.7,270341246
98,0.0,1,5.3,43.8,270444496
101,0.0,1,5.4,43.7,270583747
105,0.0,1,5.0,43.7,270679616
108,0.0,1,4.4,43.8,270782964
111,0.0,1,6.5,43.7,270928949
114,0.0,1,4.8,43.7,271050956
117,0.0,1,4.7,43.8,271159473
120,0.0,1,8.2,43.8,271338459
123,0.0,1,7.9,43.8,271519400
126,0.0,1,10.2,43.8,271686134
129,0.0,1,10.7,43.9,271887342
132,0.0,1,6.9,43.7,272073710
136,0.0,1,7.8,43.8,272256562
139,0.0,1,5.9,43.8,272427409
142,0.0,1,7.2,43.7,272565230
