Time,CPU_Percent,Memory_Percent,Network_RX_MB,Disk_Usage_Percent,Context_Switches,Replicas
0,12.3,51.5,0.0,57.1,115643929,1
1,7.4,51.5,0.0,57.1,115673553,1
2,6.2,51.6,0.0,57.1,115739413,1
3,8.1,51.6,0.01,57.1,115804001,1
4,15.6,51.6,0.01,57.1,115885224,1
5,5.3,51.6,0.01,57.1,115958828,1
6,6.4,51.5,0.01,57.1,116023846,1
7,6.4,51.5,0.01,57.1,116063794,1
8,5.3,51.5,0.01,57.1,116099378,1
9,13.7,51.5,0.02,57.1,116164891,1
10,7.3,51.5,0.02,57.1,116222152,1
11,3.9,51.5,0.02,57.1,116259306,1
12,7.4,51.5,0.02,57.1,116296310,1
13,4.1,51.4,0.02,57.1,116335473,1
14,9.8,51.6,0.02,57.1,116405391,1
15,13.0,51.3,0.02,57.1,116471547,1
16,5.6,51.3,0.02,57.1,116551366,1
17,9.4,51.3,0.02,57.1,116607898,1
18,8.6,51.4,0.02,57.1,116664265,1
19,7.2,51.3,0.02,57.1,116716611,1
20,9.8,51.4,0.02,57.1,116761298,1
21,8.8,51.4,0.02,57.1,116800528,1
22,6.5,51.3,0.02,57.1,116855709,1
23,6.3,51.3,0.02,57.1,116892182,1
24,10.0,51.5,0.02,57.1,116932729,1
25,10.8,51.5,0.02,57.1,116985249,1
26,4.5,51.3,0.02,57.1,117031892,1
27,6.9,51.4,0.02,57.1,117066667,1
28,11.3,51.3,0.02,57.1,117130103,1
29,10.0,51.3,0.02,57.1,117213836,1
30,9.0,51.4,0.02,57.1,117253844,1
31,7.8,51.4,0.02,57.1,117312949,1
32,9.4,51.6,0.08,57.1,117371862,1
33,9.0,51.7,0.09,57.1,117437603,1
34,7.5,51.8,0.09,57.1,117506627,1
35,10.0,51.8,0.09,57.1,117581642,1
36,9.9,51.7,0.09,57.1,117631610,1
37,4.9,51.7,0.09,57.1,117688717,1
38,8.6,51.7,0.09,57.1,117754141,1
39,7.5,51.7,0.1,57.1,117798127,1
40,4.7,51.7,0.1,57.1,117833738,1
41,7.1,51.7,0.1,57.1,117898516,1
42,9.8,51.8,0.1,57.1,117952569,1
43,6.0,51.7,0.1,57.1,117997987,1
44,7.8,51.8,0.1,57.1,118047288,1
45,7.1,51.8,0.1,57.1,118097020,1
46,7.2,51.8,0.1,57.1,118147250,1
47,7.6,51.7,0.1,57.1,118209792,1
48,7.4,51.8,0.1,57.1,118255287,1
49,4.7,51.7,0.1,57.1,118307158,1
50,8.0,51.7,0.1,57.1,118354775,1
51,9.3,51.7,0.1,57.1,118406777,1
52,5.7,51.7,0.1,57.1,118454584,1
53,6.7,51.7,0.1,57.1,118516787,1
54,9.1,51.7,0.1,57.1,118563509,1
55,10.9,51.7,0.1,57.1,118659979,1
56,9.5,51.6,0.1,57.1,118725655,1
57,13.5,51.6,0.1,57.1,118791849,1
58,14.1,51.7,0.1,57.1,118873012,1
59,10.0,51.7,0.1,57.1,118941230,1
60,13.5,51.7,0.1,57.1,119002547,1
61,8.7,51.7,0.1,57.1,119074578,1
62,5.6,51.6,0.1,57.1,119134788,1
63,7.6,51.8,0.1,57.1,119195929,1
64,9.3,51.8,0.1,57.1,119253015,1
65,11.9,51.7,0.1,57.1,119338951,1
66,11.6,51.7,0.1,57.1,119416787,1
67,9.6,51.7,0.1,57.1,119481577,1
68,8.6,51.7,0.11,57.1,119562732,1
69,6.3,51.7,0.11,57.1,119611507,1
70,7.9,51.7,0.11,57.1,119667934,1
71,8.4,51.6,0.11,57.1,119733481,1
72,9.1,51.6,0.11,57.1,119775807,1
73,9.3,51.8,0.12,57.1,119828306,1
74,6.6,51.7,0.12,57.1,119878236,1
75,9.8,51.7,0.13,57.1,119935509,1
76,9.4,51.7,0.13,57.1,119999354,1
77,5.3,51.6,0.13,57.1,120054104,1
78,5.7,51.6,0.13,57.1,120096119,1
