Time,Avg_Latency_ms,Throughput_RPS,Tokens_Lost,Success_Rate
0,22.62,227.7,0,100.0
0,2.49,1292.3,0,100.0
1,1.7,1535.5,0,100.0
1,2.7,1427.8,0,100.0
2,3.56,1172.7,0,100.0
2,3.22,1139.6,0,100.0
3,3.04,1416.7,0,100.0
3,4.01,845.0,0,100.0
4,3.11,1158.0,0,100.0
4,3.4,1175.0,0,100.0
5,2.76,1425.6,0,100.0
5,4.13,813.6,0,100.0
6,3.31,1036.5,0,100.0
6,3.32,1191.6,0,100.0
7,2.75,1322.4,0,100.0
7,2.76,1457.8,0,100.0
8,2.85,1331.6,0,100.0
8,3.08,816.2,0,100.0
9,3.05,1273.1,0,100.0
9,2.37,1323.6,0,100.0
10,2.59,1346.9,0,100.0
10,3.26,1440.1,0,100.0
11,3.63,1058.8,0,100.0
11,3.07,1623.6,0,100.0
12,2.5,1427.7,0,100.0
12,3.69,1173.5,0,100.0
13,3.61,1399.0,0,100.0
13,4.84,538.8,0,100.0
14,3.18,1003.3,0,100.0
14,3.9,1054.4,0,100.0
15,2.42,1335.2,0,100.0
15,2.4,1464.6,0,100.0
16,2.66,1245.2,0,100.0
16,3.06,1240.6,0,100.0
17,3.07,1368.1,0,100.0
17,3.32,1163.9,0,100.0
18,3.27,1400.2,0,100.0
18,3.71,1170.9,0,100.0
19,2.55,1209.5,0,100.0
19,2.62,1105.6,0,100.0
20,2.51,1527.6,0,100.0
20,3.12,1330.6,0,100.0
21,2.87,1398.3,0,100.0
21,2.52,1456.2,0,100.0
22,2.59,1269.8,0,100.0
22,2.8,1291.7,0,100.0
23,3.08,1215.2,0,100.0
23,2.98,1222.1,0,100.0
24,2.93,1189.2,0,100.0
25,4.96,798.6,0,100.0
25,2.6,1258.5,0,100.0
26,2.6,1664.5,0,100.0
26,3.07,1334.0,0,100.0
27,3.26,1312.6,0,100.0
27,2.56,1561.0,0,100.0
28,2.6,1480.7,0,100.0
28,2.63,1222.9,0,100.0
29,2.37,1415.1,0,100.0
29,2.84,1318.0,0,100.0
30,4.59,816.3,0,100.0
30,2.74,1340.2,0,100.0
31,2.49,1278.8,0,100.0
31,2.72,1242.1,0,100.0
32,3.09,1388.9,0,100.0
32,3.37,981.9,0,100.0
33,2.45,1391.9,0,100.0
33,3.0,1279.9,0,100.0
34,2.53,1305.8,0,100.0
34,2.76,1254.2,0,100.0
35,2.46,1420.3,0,100.0
35,3.24,1295.5,0,100.0
36,2.54,1334.4,0,100.0
36,2.88,1368.0,0,100.0
37,2.95,1202.4,0,100.0
37,3.23,1207.4,0,100.0
38,2.91,950.1,0,100.0
38,3.5,1053.2,0,100.0
39,2.85,1093.9,0,100.0
39,2.62,1444.1,0,100.0
40,3.18,927.4,0,100.0
40,2.87,1193.2,0,100.0
41,2.47,1303.8,0,100.0
41,2.47,1166.8,0,100.0
42,3.43,1013.0,0,100.0
42,2.63,1340.2,0,100.0
43,2.95,1336.4,0,100.0
43,3.02,1186.5,0,100.0
44,2.9,1155.6,0,100.0
44,2.77,1346.2,0,100.0
45,2.38,1194.2,0,100.0
45,2.37,1300.9,0,100.0
46,3.22,1201.4,0,100.0
46,2.69,1280.2,0,100.0
47,2.9,1079.8,0,100.0
47,2.37,1081.3,0,100.0
48,3.29,1356.9,0,100.0
48,2.92,1340.0,0,100.0
49,3.88,1050.9,0,100.0
49,3.22,1201.2,0,100.0
50,2.46,1386.9,0,100.0
50,3.52,1126.1,0,100.0
51,3.46,966.3,0,100.0
52,3.01,1219.6,0,100.0
52,3.18,781.9,0,100.0
53,2.49,1484.0,0,100.0
53,2.66,1531.0,0,100.0
54,3.17,1017.8,0,100.0
54,3.13,1299.5,0,100.0
55,3.05,1248.3,0,100.0
55,2.65,1509.3,0,100.0
56,3.78,1148.1,0,100.0
56,2.29,1603.3,0,100.0
57,2.8,1336.1,0,100.0
57,2.39,1372.0,0,100.0
58,4.74,840.7,0,100.0
58,4.47,761.0,0,100.0
59,2.57,1349.4,0,100.0
59,3.38,1200.1,0,100.0
